date,open,high,low,close,volume
2021-09-14 12:30:00,445.875,445.88,444.07,444.9,6630023
2021-09-14 13:30:00,444.91,445.22,443.81,444.0,8351426
2021-09-14 14:30:00,444.0,444.29,443.22,443.449,10729550
2021-09-14 15:30:00,443.44,444.255,443.2522,444.18,14654334
2021-09-15 09:30:00,444.62,445.53,443.44,444.41,14418897
2021-09-15 10:30:00,444.41,445.57,444.22,445.29,9878698
2021-09-15 11:30:00,445.29,446.16,444.81,445.94,6759253
2021-09-15 12:30:00,445.95,447.52,445.95,447.4,7959661
2021-09-15 13:30:00,447.41,447.93,447.155,447.33,8924850
2021-09-15 14:30:00,447.33,448.17,447.18,447.9292,8480616
2021-09-15 15:30:00,447.92,448.41,447.63,447.86,13062662
2021-09-16 09:30:00,447.32,448.27,444.55,445.295,15579394
2021-09-16 10:30:00,445.27,445.7,444.02,444.9301,10474953
2021-09-16 11:30:00,444.93,445.94,444.62,445.67,7200509
2021-09-16 12:30:00,445.67,446.35,445.585,445.9884,6519213
2021-09-16 13:30:00,445.99,447.24,445.42,446.85,9328334
2021-09-16 14:30:00,446.86,448.36,446.79,447.435,9417406
2021-09-16 15:30:00,447.43,447.81,446.99,447.15,10295681
2021-09-17 09:30:00,444.92,445.37,442.45,443.2,18806168
2021-09-17 10:30:00,443.21,443.21,441.79,442.34,20358825
2021-09-17 11:30:00,442.335,442.97,441.63,442.575,12559087
2021-09-17 12:30:00,442.58,443.24,441.63,442.061,9447653
2021-09-17 13:30:00,442.0702,442.21,441.02,441.37,12286406
2021-09-17 14:30:00,441.36,442.14,441.03,441.4946,9456895
2021-09-17 15:30:00,441.485,442.22,441.11,441.42,17186910
2021-09-20 09:30:00,434.88,436.56,433.88,434.835,36421146
2021-09-20 10:30:00,434.83,435.43,433.6346,434.8517,16763793
2021-09-20 11:30:00,434.87,434.94,431.805,432.495,16250565
2021-09-20 12:30:00,432.49,432.69,430.69,431.96,12967123
2021-09-20 13:30:00,431.97,434.66,430.0,430.14,16216331
2021-09-20 14:30:00,430.14,430.92,428.86,430.9001,22805795
2021-09-20 15:30:00,430.91,434.42,430.73,434.06,27608441
2021-09-21 09:30:00,436.53,437.91,434.4,435.34,20993571
2021-09-21 10:30:00,435.34,437.5,433.07,434.53,13168926
2021-09-21 11:30:00,434.54,436.97,434.54,436.0501,10133685
2021-09-21 12:30:00,436.06,436.2894,434.24,434.385,8043332
2021-09-21 13:30:00,434.38,434.97,433.545,433.66,8197104
2021-09-21 14:30:00,433.68,436.05,433.59,435.71,10009056
2021-09-21 15:30:00,435.705,436.03,433.54,433.68,11732822
2021-09-22 09:30:00,436.05,437.7283,433.747,437.395,13381113
2021-09-22 10:30:00,437.39,438.31,437.27,438.1305,8494749
2021-09-22 11:30:00,438.14,439.57,438.135,438.8,8428992
2021-09-22 12:30:00,438.81,439.03,437.8,438.29,5628269
2021-09-22 13:30:00,438.28,440.03,436.96,439.465,16614168
2021-09-22 14:30:00,439.46,439.73,436.6,438.99,20865359
2021-09-22 15:30:00,438.97,439.24,437.54,437.83,17985971
2021-09-23 09:30:00,439.85,443.64,439.6,443.28,18448538
2021-09-23 10:30:00,443.27,443.92,442.81,443.36,9273954
2021-09-23 11:30:00,443.36,443.77,439.98,443.71,6244147
2021-09-23 12:30:00,443.695,444.47,443.66,444.4101,6523744
2021-09-23 13:30:00,444.41,444.89,439.83,444.29,6684140
2021-09-23 14:30:00,444.3,444.6,443.6,443.74,7904762
2021-09-23 15:30:00,443.76,444.0,443.03,443.08,12986760
2021-09-24 09:30:00,441.44,443.91,441.21,443.1,13174093
2021-09-24 10:30:00,443.1,443.28,442.21,442.3,7615005
2021-09-24 11:30:00,442.3,443.62,442.14,443.375,5665080
2021-09-24 12:30:00,443.37,443.67,443.19,443.49,3366574
2021-09-24 13:30:00,443.48,443.5,442.79,443.17,4551755
2021-09-24 14:30:00,443.1509,444.28,443.105,444.075,6709172
2021-09-24 15:30:00,444.07,444.67,443.87,443.92,11252437
2021-09-27 09:30:00,442.82,443.83,441.9,443.45,12949878
2021-09-27 10:30:00,444.02,444.05,442.89,443.1,6201097
2021-09-27 11:30:00,443.09,443.31,442.31,443.17,5379499
2021-09-27 12:30:00,442.9,443.17,442.07,443.04,6530802
2021-09-27 13:30:00,442.92,443.72,442.76,443.5,3846437
2021-09-27 14:30:00,443.4003,443.69,443.045,443.365,5032172
2021-09-27 15:30:00,443.1992,443.475,442.32,442.33,11279562
2021-09-28 09:30:00,439.69,440.04,434.95,435.85,24341034
2021-09-28 10:30:00,435.84,436.6,433.8,434.63,17870082
2021-09-28 11:30:00,434.64,435.13,433.65,434.64,10958122
2021-09-28 12:30:00,434.62,435.0284,432.94,434.69,11900520
2021-09-28 13:30:00,434.69,435.24,433.02,435.19,11974008
2021-09-28 14:30:00,435.18,436.67,434.25,434.79,14900254
2021-09-28 15:30:00,434.785,435.58,433.17,433.75,23556779
2021-09-29 09:30:00,435.19,436.96,434.03,436.27,16890339
2021-09-29 10:30:00,436.27,437.04,435.5,435.79,8920196
2021-09-29 11:30:00,435.81,436.0,434.25,434.54,7287838
2021-09-29 12:30:00,434.5301,435.4,434.36,434.64,6612411
2021-09-29 13:30:00,434.71,436.625,433.85,436.21,10662317
2021-09-29 14:30:00,436.22,436.98,435.97,436.14,6934698
2021-09-29 15:30:00,436.1399,436.25,433.9501,434.43,13104008
2021-09-30 09:30:00,436.02,436.77,434.65,435.13,15742096
2021-09-30 10:30:00,435.13,435.31,433.38,434.71,12526618
2021-09-30 11:30:00,434.72,434.74,430.09,430.4,18854346
2021-09-30 12:30:00,430.38,432.26,430.0,430.9105,15226917
2021-09-30 13:30:00,430.9,433.2,430.42,432.69,11026632
2021-09-30 14:30:00,432.68,433.86,431.93,432.28,15375363
2021-09-30 15:30:00,432.27,433.1801,428.78,429.16,28404572
2021-10-01 09:30:00,430.98,431.61,427.25,427.68,25557173
2021-10-01 10:30:00,427.68,430.98,427.23,430.42,18948305
2021-10-01 11:30:00,430.41,432.1,430.36,431.55,15097788
2021-10-01 12:30:00,431.56,432.46,430.99,432.21,8321414
2021-10-01 13:30:00,432.21,434.33,432.21,434.03,11523569
2021-10-01 14:30:00,434.044,436.0329,433.95,434.85,12241854
2021-10-01 15:30:00,434.85,435.38,433.57,434.19,19358879
2021-10-04 09:30:00,433.0,433.96,429.82,429.95,18521728
2021-10-04 10:30:00,429.95,429.95,427.07,427.89,22449391
